	BP4	BP5	BP6	BP7	BP8	BP9	DBS1.1	DBS1.2	DBS1.3	DBS2.1	DBS2.4	DBS2.5	DS3	DS4	DX1	DX2	DX4	Fk1	Fk2	Fk3	Fk4	Fk5	HSP1	HSP2	JA1	JA2	JA3	JA4	JA5	JA6	LL2	LL3	LL4	LL6	LL7	LSA1	LSA2	LSA3	LSA4	LSA5	MAS1	MAS2	MAS3	MAS4	MAS5	SKS1	SKS3	SKS4	SKS5	TL1.1	TL1.2	TL1.3	TL1.4	TL1.5	TL2.1	TL2.2	TL2.3	TL2.4	TL2.5	WH1	WH2	WH3	WH4	WH5	WY1	WY2	WY3	WY4	WY5	YF1	YF2	YF3	YF4	YF5	YP1	YP2	YP3	YP4	YP5	YS1	YS2	YS3	YS4	YS5	ZJ1	ZJ2	ZJ3	ZJ4	ZJ5	ZJ7
ASV0034	50	21	40	30	46	63	944	460	1554	267	176	871	46	32	1	0	0	998	1071	723	636	698	0	0	2	3	14	12	31	1	109	62	92	41	25	28	32	14	20	17	364	396	472	607	242	2	1	10	9	0	0	0	0	341	0	108	175	125	114	0	518	0	0	56	199	9	21	12	16	327	230	85	128	129	8	308	317	761	485	25	190	393	331	303	126	26	29	34	30	90
ASV0039	2	6	3	7	4	4	13	0	11	13	3237	27	27	71	0	0	0	1517	5	1067	1210	1247	19	0	1	0	0	2	2	0	8	6	15	4	1	139	42	13	0	15	2	0	4	1	3	9	11	11	17	0	5	1060	767	41	0	1	3	2	0	3	11	3	4	0	0	0	0	1	11	4	0	2	1	0	1694	2	1	168	2	2	2	6	4	4	2	2	4	2	0	2
ASV0051	12	13	3	2	3	3	347	280	271	69	0	35	55	39	1	1	0	0	18	6	9	13	0	0	1	0	0	0	0	0	4	6	4	4	4	24	53	20	35	20	894	1123	1138	716	1603	0	0	1	0	16	47	38	40	191	1	0	0	0	0	3	784	4	3	0	13	9	11	8	7	456	43	3	6	41	2	0	19	208	12	2	12	18	23	33	2	0	1	1	1	11
ASV0064	0	0	0	2	0	2	3	2	4	2	96	2	3	7	5	8	3	37	14	54	63	66	357	841	2	0	0	0	1	0	0	0	0	2	0	40	74	68	96	137	9	6	9	7	3	31	0	2	357	186	142	17	10	9	112	849	541	812	418	27	15	202	94	428	20	39	38	33	36	6	23	10	10	22	2	21	29	22	10	4	75	133	146	145	0	0	0	0	0	0
ASV0065	76	153	152	162	153	201	0	0	3	0	0	0	1	7	2	2	0	0	0	0	0	0	0	2	2	3	0	0	0	0	275	246	237	160	106	2	3	3	0	4	0	0	0	1	0	5	112	423	99	0	0	2	1	0	0	0	0	0	0	4	0	6	2	0	27	28	18	32	13	4	4	3	1	1	0	0	0	1	0	0	0	0	3	1	892	711	651	768	750	446
ASV0069	8	20	18	17	8	15	2	3	2	0	1	56	5	4	3	3	0	0	0	0	0	0	1	0	8	3	5	21	7	17	368	355	413	467	337	4	2	2	5	5	3	1	5	5	6	2	12	0	7	0	2	1	2	4	3	0	0	0	0	213	0	131	42	2	3	3	4	7	5	6	9	13	16	13	0	1	1	0	0	3	1	0	0	2	728	623	585	647	469	777
ASV0071	0	2	0	1	0	0	668	654	524	86	146	61	51	44	228	220	480	297	34	110	113	175	1	2	0	0	1	0	0	0	0	0	0	1	2	170	124	147	195	189	3	15	10	7	23	3	2	3	32	48	35	36	48	484	1	16	22	36	10	0	15	1	1	20	46	97	96	61	69	8	5	4	9	12	136	20	15	106	12	2	9	21	22	10	0	0	0	0	0	0
ASV0074	14	8	10	8	5	11	92	49	117	13	9	7	180	109	17	7	9	11	68	57	22	22	0	0	1	2	11	3	16	3	12	8	2	4	4	148	93	74	123	63	872	710	368	630	887	2	3	0	0	13	32	20	19	147	0	20	30	37	29	0	432	0	0	6	15	10	10	12	15	25	22	2	10	13	12	114	14	229	6	0	8	15	19	20	1	0	0	1	2	8
ASV0076	164	205	597	605	362	440	69	68	26	15	5	4	44	44	1	0	5	0	0	5	2	4	0	0	3	2	0	2	1	2	223	203	287	128	134	3	5	1	5	3	9	4	4	8	10	31	17	47	41	4	4	0	5	2	0	0	0	0	0	4	4	0	0	0	110	70	92	75	48	4	1	1	3	2	1	2	0	1	0	3	14	2	3	2	453	183	267	252	271	194
ASV0105	88	48	22	51	22	37	2	10	14	36	1287	26	249	232	0	0	3	23	2	522	55	3	2	1	0	0	0	2	0	0	9	12	10	6	8	0	0	2	0	1	0	2	0	0	0	609	0	0	68	0	2	0	0	1	1	3	2	2	1	1	1	10	6	2	47	49	69	22	30	0	0	3	0	0	0	0	0	0	0	12	18	1	0	0	0	0	2	2	1	3
ASV0108	73	25	40	13	20	55	411	165	325	95	4	13	37	19	9	11	4	1	2	3	47	5	0	1	7	4	3	3	2	2	2	0	2	2	0	0	2	2	0	0	11	3	0	4	15	30	3	3	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	10	9	17	6	14	257	10	0	2	2	55	4	20	1618	20	3	1	4	3	8	8	2	6	5	4	5
ASV0113	17	149	98	72	40	62	0	0	0	0	0	13	12	5	5	2	3	0	0	0	0	0	1	1	54	31	21	47	14	74	329	325	523	268	476	7	3	2	2	7	7	5	3	2	9	11	24	15	7	3	2	3	2	2	0	0	0	0	0	21	0	9	28	0	11	5	15	6	2	8	7	5	5	4	2	0	1	2	0	18	19	0	3	1	11	31	144	72	257	13
