	BP4	BP5	BP6	BP7	BP8	BP9	DBS1-1	DBS1-2	DBS1-3	DBS2-1	DBS2-4	DBS2-5	DS3	DS4	DX1	DX2	DX4	FK1	FK2	FK3	FK4	FK5	HSP1	HSP2	JA1	JA2	JA3	JA4	JA5	JA6	LL2	LL3	LL4	LL6	LL7	LSA1	LSA2	LSA3	LSA4	LSA5	MAS1	MAS2	MAS3	MAS4	MAS5	SKS1	SKS3	SKS4	SKS5	TL1-1	TL1-2	TL1-3	TL1-4	TL1-5	TL2-1	TL2-2	TL2-3	TL2-4	TL2-5	WH1	WH2	WH3	WH4	WH5	WY1	WY2	WY3	WY4	WY5	YF1	YF2	YF3	YF4	YF5	YP1	YP2	YP3	YP4	YP5	YS1	YS2	YS3	YS4	YS5	ZJ1	ZJ2	ZJ3	ZJ4	ZJ5	ZJ7
FK1.bin74	0	0	0	0	0	0	3.302792988	3.837873681	1.274927116	0.541620124	4.025079078	1.360092824	11.05143294	9.469402037	0	0	0	7.686936433	0.799011474	4.237170973	17.21879937	2.573138275	0.485433818	0.70588157	0	0	0	0	0	0	0.08647519	0.046854357	0.031103104	0	0	39.51851448	36.50553316	41.65979099	64.28630423	66.21170628	32.04489048	53.26900461	29.63645212	24.96150706	7.089058275	0.019258444	0	0	0	12.15321889	14.70940949	2.037734182	1.88496013	5.211681157	2.815420624	42.49719276	73.43320527	40.46336006	37.32905144	0	24.36711622	0.323670897	0.817393295	28.6756208	0.573561376	0.698642035	1.20338327	0.642691677	0	0.567484274	2.586898148	1.034696277	1.44668013	1.280811132	0	0	0.015221162	0.395572008	0	0.904801605	1.028716586	1.061697314	3.135549906	1.280811285	0.006430237	0	0	0	0	0
FK1.bin85	0	0	0	0	0	0	0	0	0	0	19.55762559	0	0	0	0	0	0	60.29345219	5.623127796	12.14030372	7.350327844	3.944178514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FK1.bin87	0	0	0	0	0	0	0	0	0.05536244	3.922487823	0.271463966	0.960395455	0.804472316	1.372093071	0	0	0	10.83140458	0	0.566194263	1.70807982	1.514475644	4.062000865	4.332153376	0	0	0	0	0	0	0	0	0	0	0	3.819502359	4.105459306	9.142323808	4.442322049	7.773693348	0.22922732	5.335343651	2.334177423	0.614364407	0.589379063	3.351049761	0.663456889	0.156530726	12.56920266	0	0	0	0	0.031459823	0	0	0	0	0	0	3.496838515	0	0	0	0.695833717	0.806429677	1.199253307	0.528396922	0.26810119	0.219694247	0.191202916	0.090970748	0.065677805	0	0	0	0	0	0	0.090131228	0.050222142	0.090819272	0.151477404	0	0	0	0	0	0	0
FK2.bin60	0	0	0	0	0	0	0.022217964	0.137851594	0.037855402	1.182537908	0.886132469	0.069237169	0	0	0	0	0	7.713765145	8.307624592	3.656366492	2.83686587	4.645706512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004862028	0.000958459	0.015378573	0.089742844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317744382	1.547073826	0.504905982	1.889517888	0.979359179	0.00023005	1.276178179	2.595239957	6.027437662	0.630084817	2.340528902	2.369651223	1.06609284	3.297283454	0.979359296	0	0	0	0	0	0
FK2.bin61	0	0	0	0	0	0	0	0	0	0.009890543	2.760943642	0	0	0	0	0	0	17.77541318	8.999742932	2.623072341	5.039801493	3.805540095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.175771205	2.713258521	3.113852152	0.860689961	9.303206794	0	0	0	0	0	0	0	0	0.451970657	0	0	0	0	0	0	1.356732596	0	0	0	0	0	0	0	0	0.943338321	0.090697893	0	0.105004938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FK3.bin110	0	0	0.025955265	0	0	0	0	0.015734911	0	1.374786437	12.58195827	0.028738323	0	0	0.105840914	0.045432136	0	37.03596663	11.52901138	10.42609081	9.541773468	6.986632771	0	0	0	0	0	0	0	0	0	0	0.33162949	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078469632	0	0.058780022	0	0	0	0	0.698181813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078636271	1.011664907	0.293517471	1.195924155	0.781892429	113.8956489	23.49908845	13.51436638	29.14344308	4.289848476	1.001764483	1.228882293	1.442562349	2.033997419	0.781892523	0	0	0	0	0	0
FK3.bin143	0	0	0	0	0	0	3.068861274	3.71083673	0.867066829	0.679452281	8.700122794	0.535412146	1.610710157	1.304599438	0.928292251	0.782432477	0.012147876	22.16177586	25.57449407	22.81116455	24.64541857	25.28464082	0	0	0	0	0	0	0	0	0.487912472	0.20198284	0.411507896	0.054086147	0.046937177	0.941488819	0.363195799	1.106624189	1.126145027	0.33359571	0	0.003550926	0	0	0	0	0	0	0	0.8061749	0.628981633	0.244988152	0.396742824	7.438080793	0	12.56813034	28.35073566	16.04429385	11.28798848	0	0	0	0	4.287734105	0.177291104	0.324813687	0.489134486	0.258549289	0	9.011261839	11.99378756	4.461787879	7.671368823	0.766877178	0	1.039934198	0.00821008	0.016021321	0	0.703948242	0.728825755	0.807107172	2.420350836	0.766877269	0.125406967	0.011712223	0.035653459	0.043985029	0.041368802	0
FK3.bin165	0	0	0	0	0	0	0	0	0	0.304189236	7.594414931	0.103120948	0	0	0	0	0	26.41869544	19.59245582	22.5724753	23.27989649	17.19463275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.14512988	15.11210159	13.64555129	44.31711752	65.38286145	0	0	0	0	0	0	0	0	1.212885496	0	0	0	0	0	0	6.752516259	0	0	0	0	0	0	0	0	12.34502164	0.905200001	0.277435135	0.690341362	0.025482842	2.042008928	50.5370462	49.32766204	5.597893172	19.9684591	0.321274366	0.183722073	0.02358148	0.244039982	0.025482845	0.138240559	0	0	0.101370405	0	0
FK3.bin34	0	0	0	0	0	0	0.056138204	0	0	0.221683703	8.863960305	0	0	0	0	0	0	21.31046298	83.56074788	35.18870147	35.59450772	18.11146558	0	0	0	0	0	0	0	0	0	0	0.002153849	0	0	0	0	0	0	0	1.375725076	0.104836202	0.140158972	0.584499834	4.622206841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160100947	0	0	0	0	0	0	0	0	1.55342352	0.07954261	0.019092979	0.032692543	0	0.417608936	6.146597423	8.445536594	1.822813698	3.166938708	0	0	0	0	0	0	0	0	0	0	0
FK3.bin41	0.055333845	0.04456481	0	0	0	0	0.902818963	0.665773911	0.300307487	0.142796187	177.4809647	20.81653809	1.038405011	0.873331811	0	0	0	511.8435448	2261.917429	886.241414	491.3392749	225.0979846	0	0	0	0	0.151691474	0	0	0	0.224304234	0.082192319	0.18597306	0.002462791	0	11.95792029	2.442630781	9.223978489	13.33259975	3.527936929	96.22319846	137.2284435	47.43413316	146.5918447	103.4978413	0	0	0	0	0.056554447	0.038361664	0.180324101	0.278584573	7.179118424	1.075686241	0	0.016849594	0.017715256	0	0	41.26279966	0	0	0	0.221248535	0.375167037	0.475771937	0.351609339	0	2.139078184	14.77068933	2.929527798	6.053467909	0.36877986	0	3.167780586	44.63837077	3.724204238	10.2330594	1.464409454	1.403815933	0.711383122	1.81272209	0.368779904	0.981477837	0.047045311	0.093834093	0.210179588	0.09390827	0.085646884
