	bin	env	Random	spat	R2
285	BP9.bin112	0.275690401	0.531519569	0.19279003	0.352876412
79	WY1.bin89	0.435340658	0.175981809	0.388677533	0.352795149
404	DBS2-4.bin120	0.129902925	0.175238826	0.694858249	0.34524272
70	WY3.bin22	0.447883084	0.177913388	0.374203527	0.334383994
144	FK3.bin53	0.384817768	0.28744218	0.327740052	0.328028138
117	WY5.bin159	0.400287511	0.137132848	0.462579641	0.32308637
114	YP5.bin2	0.404803922	0.378198039	0.216998039	0.320532163
133	BP9.bin16	0.390263645	0.393055721	0.216680635	0.31956
57	FK3.bin166	0.458755204	0.242202901	0.299041896	0.297228274
262	YS1.bin25	0.291420303	0.312143437	0.396436259	0.289346192
58	WY5.bin128	0.457167917	0.112659275	0.430172808	0.286908208
140	LL2.bin68	0.386818474	0.106410303	0.506771223	0.285498229
379	FK3.bin17	0.179102937	0.425518732	0.395378331	0.280576292
337	FK5.bin71	0.220844239	0.062857762	0.716297999	0.279765521
185	FK3.bin35	0.350616623	0.298385266	0.350998112	0.264515919
33	ZJ1.bin49	0.495957196	0.040702394	0.46334041	0.250092665
97	WY1.bin9	0.417976873	0.191402889	0.390620239	0.241432736
127	YF3.bin16	0.396353671	0.24810789	0.355538439	0.231682407
203	SKS3.bin86	0.341002057	0.334129133	0.32486881	0.224050869
83	YS3.bin3	0.42612078	0.168280417	0.405598803	0.172704528
84	WY2.bin74	0.425175064	0.194796572	0.380028363	0.169228745
51	WY1.bin105	0.467590994	0.116395279	0.416013727	0.15749271
78	WY2.bin67	0.435428169	0.138937799	0.425634032	0.14540633
253	YF4.bin20	0.297288702	0.197387925	0.505323374	0.131299343
156	WY5.bin127	0.374747171	0.070249198	0.555003631	0.124669086
179	BP9.bin81	0.354653577	0.259272744	0.386073679	0.121798916
150	DX2.bin66	0.382552575	0.193619214	0.423828212	0.040111513
